?subclass	?subclassLabel
<http://www.wikidata.org/entity/Q20669622>	"music journalist"@en
<http://www.wikidata.org/entity/Q22976182>	"television journalist"@en
<http://www.wikidata.org/entity/Q24705156>	"broadcast journalist"@en
<http://www.wikidata.org/entity/Q24812704>	"Media journalist"@en
<http://www.wikidata.org/entity/Q23055218>	"travel guide writer"@en
<http://www.wikidata.org/entity/Q17125263>	"YouTuber"@en
<http://www.wikidata.org/entity/Q1350157>	"music critic"@en
<http://www.wikidata.org/entity/Q1495660>	"food critic"@en
<http://www.wikidata.org/entity/Q2556193>	"wine critic"@en
<http://www.wikidata.org/entity/Q4164507>	"art critic"@en
<http://www.wikidata.org/entity/Q4263842>	"literary critic"@en
<http://www.wikidata.org/entity/Q11598626>	Q11598626
<http://www.wikidata.org/entity/Q15978337>	"social critic"@en
<http://www.wikidata.org/entity/Q15978391>	"satirist"@en
<http://www.wikidata.org/entity/Q17337766>	"theatre critic"@en
<http://www.wikidata.org/entity/Q18810130>	"television critic"@en
<http://www.wikidata.org/entity/Q19251029>	"media critic"@en
<http://www.wikidata.org/entity/Q19765978>	"dance critic"@en
<http://www.wikidata.org/entity/Q20020377>	"cultural critic"@en
<http://www.wikidata.org/entity/Q21207686>	"comics critic"@en
<http://www.wikidata.org/entity/Q21286455>	"critic of religions"@en
<http://www.wikidata.org/entity/Q15994177>	"political theorist"@en
<http://www.wikidata.org/entity/Q744738>	"Encyclopédistes"@en
<http://www.wikidata.org/entity/Q23038345>	"Wikipedian"@en
<http://www.wikidata.org/entity/Q670974>	"Bollandists"@en
<http://www.wikidata.org/entity/Q11774156>	"memoirist"@en
<http://www.wikidata.org/entity/Q12806039>	"military theorist"@en
<http://www.wikidata.org/entity/Q15958307>	"chess theoretician"@en
<http://www.wikidata.org/entity/Q15962340>	"literary theorist"@en
<http://www.wikidata.org/entity/Q16012028>	"legal scholar"@en
<http://www.wikidata.org/entity/Q16031530>	"music theorist"@en
<http://www.wikidata.org/entity/Q16270720>	"theoretical biologist"@en
<http://www.wikidata.org/entity/Q16755977>	"racial theorist"@en
<http://www.wikidata.org/entity/Q17391605>	"film theorist"@en
<http://www.wikidata.org/entity/Q17391638>	"art theorist"@en
<http://www.wikidata.org/entity/Q19350898>	"theoretical physicist"@en
<http://www.wikidata.org/entity/Q28039322>	"story supervisor"@en
<http://www.wikidata.org/entity/Q619553>	"apologist"@en
<http://www.wikidata.org/entity/Q1234713>	"theologian"@en
<http://www.wikidata.org/entity/Q20738773>	"hymnwriter"@en
<http://www.wikidata.org/entity/Q164236>	"war correspondent"@en
<http://www.wikidata.org/entity/Q619514>	"video journalist"@en
<http://www.wikidata.org/entity/Q1155838>	"correspondent"@en
<http://www.wikidata.org/entity/Q488205>	"singer-songwriter"@en
<http://www.wikidata.org/entity/Q11781549>	"minnesänger"@en
<http://www.wikidata.org/entity/Q24961653>	Q24961653
<http://www.wikidata.org/entity/Q861009>	Q861009
<http://www.wikidata.org/entity/Q18059311>	Q18059311
<http://www.wikidata.org/entity/Q2986228>	"sports commentator"@en
<http://www.wikidata.org/entity/Q5615122>	"guest host"@en
<http://www.wikidata.org/entity/Q5905231>	"horror host"@en
<http://www.wikidata.org/entity/Q6399436>	"VJ"@en
<http://www.wikidata.org/entity/Q18668527>	"talk show host"@en
<http://www.wikidata.org/entity/Q22662561>	"game show host"@en
<http://www.wikidata.org/entity/Q156624>	"paparazzi"@en
<http://www.wikidata.org/entity/Q11496048>	"war photographer"@en
